shipment_id,carrier,ship_date,status,origin,destination,freight_cost,Expected Delivery Date,Delivered Date,delay_days
SHO1798,DHL,12/08/2025,Delayed,Pune,Delhi,94.67,19/08/2025,25/08/2025,
SHO1799,BLUEDART,20/10/2024,In Transit,Bangalore,Pune,484.03,27/10/2024,,
SHO1800,DHL,27/10/2025,Pending,Hyderabad,Delhi,227.23,29/10/2025,,
SHO1801,BLUEDART,11/12/2025,Delayed,Bangalore,Hyderabad,457.35,18/12/2025,,
SHO1803,DHL,26/10/2024,Pending,Bangalore,Chennai,452.5,29/10/2024,,
SHO1805,FEDEX,16/05/2024,Delayed,Mumbai,Bangalore,246.13,20/05/2024,,
SHO1806,BLUEDART,21/02/2024,Accepted,Hyderabad,Mumbai,298.79,23/02/2024,,
SHO1813,BLUEDART,22/12/2024,In Transit,Pune,Bangalore,109.75,29/12/2024,,
SHO1817,FEDEX,01/05/2024,Accepted,Pune,Delhi,235.73,01/08/2024,01/06/2024,
SHO1818,BLUEDART,23/03/2026,Pending,Hyderabad,Chennai,192.1,30/03/2026,,
SHO1820,FEDEX,23/12/2024,Delivered,Hyderabad,Pune,302.02,30/12/2024,01/04/2025,92
SHO1826,BLUEDART,01/01/2025,Pending,Chennai,Hyderabad,438.77,07/01/2025,,
SHO1828,FEDEX,29/05/2024,Delivered,Mumbai,Delhi,220.7,02/06/2024,06/06/2024,4
SHO1834,DHL,21/11/2025,Delivered,Hyderabad,Delhi,168.87,23/11/2025,26/11/2025,3
SHO1836,FEDEX,25/07/2025,Pending,Hyderabad,Pune,492.71,01/08/2025,,
SHO1837,BLUEDART,11/04/2026,Pending,Pune,Chennai,167.74,18/04/2026,,
SHO1838,FEDEX,11/07/2025,Pending,Hyderabad,Chennai,445.51,18/07/2025,,
SHO1840,FEDEX,17/07/2025,Delivered,Hyderabad,Delhi,269.29,24/07/2025,22/07/2025,0
SHO1851,BLUEDART,10/07/2025,Accepted,Chennai,Mumbai,415.71,10/12/2025,16/10/2025,
SHO1854,FEDEX,22/02/2024,Pending,Hyderabad,Pune,34.3,25/02/2024,,
SHO1855,BLUEDART,12/10/2025,Delivered,Delhi,Mumbai,454.81,19/10/2025,17/10/2025,0
SHO1857,BLUEDART,24/04/2026,In Transit,Bangalore,Hyderabad,355.35,30/04/2026,,
SHO1858,DHL,14/02/2025,In Transit,Delhi,Hyderabad,27.1,19/02/2025,,
SHO1861,BLUEDART,18/05/2024,Pending,Pune,Chennai,28.16,20/05/2024,,
SHO1870,FEDEX,07/04/2025,In Transit,Delhi,Pune,417.2,13/04/2025,,
SHO1871,DHL,30/08/2025,Pending,Hyderabad,Pune,62.79,05/09/2025,,
SHO1873,DHL,03/05/2026,Delivered,Pune,Delhi,138.82,03/11/2026,03/12/2026,30
SHO1876,DHL,12/04/2024,Accepted,Pune,Mumbai,61.85,17/04/2024,,
SHO1880,BLUEDART,24/03/2026,Delivered,Delhi,Pune,309.35,30/03/2026,02/04/2026,3
SHO1883,DHL,22/02/2026,Accepted,Bangalore,Mumbai,141.38,27/02/2026,,
SHO1894,FEDEX,17/04/2026,Delayed,Delhi,Chennai,352.01,22/04/2026,24/04/2026,
SHO1896,DHL,22/12/2024,In Transit,Mumbai,Chennai,381.3,29/12/2024,,
SHO1897,DHL,31/05/2026,Pending,Mumbai,Bangalore,111.07,06/06/2026,,
SHO1902,BLUEDART,27/08/2024,Delayed,Delhi,Mumbai,102.09,30/08/2024,31/08/2024,
SHO1904,FEDEX,12/02/2024,Delivered,Mumbai,Hyderabad,468.51,12/04/2024,08/12/2024,240
SHO1905,FEDEX,03/05/2024,Pending,Bangalore,Hyderabad,300.98,10/05/2024,,
SHO1910,FEDEX,27/02/2024,Pending,Pune,Bangalore,447.39,01/03/2024,,
SHO1913,DHL,14/10/2024,Delivered,Delhi,Hyderabad,285.94,17/10/2024,19/10/2024,2
SHO1916,DHL,16/06/2024,Delivered,Chennai,Delhi,414.49,23/06/2024,26/06/2024,3
SHO1918,BLUEDART,19/05/2024,Pending,Delhi,Mumbai,215.02,24/05/2024,,
SHO1919,FEDEX,05/07/2025,Pending,Mumbai,Bangalore,256.05,07/10/2025,,
SHO1927,DHL,16/07/2025,Pending,Hyderabad,Chennai,138.88,20/07/2025,,
SHO1928,BLUEDART,24/12/2024,Pending,Mumbai,Chennai,138.11,29/12/2024,,
SHO1929,BLUEDART,10/05/2025,Pending,Delhi,Hyderabad,69.74,10/11/2025,,
SHO1931,FEDEX,22/11/2025,Accepted,Mumbai,Hyderabad,436.31,27/11/2025,,
SHO1934,FEDEX,29/12/2024,Delayed,Mumbai,Chennai,98.71,03/01/2025,09/01/2025,
SHO1935,DHL,08/07/2025,Accepted,Pune,Hyderabad,81.1,09/08/2025,,
SHO1937,DHL,22/04/2025,Delayed,Pune,Mumbai,416.17,28/04/2025,,
SHO1938,BLUEDART,28/05/2025,Pending,Bangalore,Chennai,263.11,02/06/2025,,
SHO1940,BLUEDART,25/02/2025,In Transit,Mumbai,Bangalore,309.3,02/03/2025,,
SHO1943,FEDEX,11/11/2024,Pending,Mumbai,Pune,98.37,14/11/2024,,
SHO1948,DHL,11/06/2024,Delivered,Chennai,Bangalore,433.99,11/08/2024,08/11/2024,89
SHO1950,DHL,07/03/2024,Accepted,Hyderabad,Bangalore,69.76,12/03/2024,,
SHO1955,DHL,28/05/2026,Pending,Mumbai,Bangalore,74.8,31/05/2026,,
SHO1956,DHL,18/10/2025,In Transit,Bangalore,Mumbai,320.21,20/10/2025,,
SHO1957,FEDEX,18/02/2025,Pending,Hyderabad,Pune,2.01,24/02/2025,,
SHO1960,BLUEDART,26/07/2025,In Transit,Mumbai,Delhi,277.1,02/08/2025,,
SHO1966,FEDEX,22/09/2025,Delayed,Pune,Bangalore,44.31,24/09/2025,,
SHO1972,BLUEDART,02/10/2024,Delivered,Hyderabad,Chennai,82.82,06/10/2024,11/10/2024,5
SHO1973,BLUEDART,10/05/2025,Delayed,Delhi,Bangalore,455.78,12/10/2025,22/10/2025,
SHO1975,FEDEX,24/02/2026,In Transit,Delhi,Pune,371.62,01/03/2026,,
SHO1976,DHL,25/12/2024,Delivered,Chennai,Hyderabad,212.5,28/12/2024,26/12/2024,0
SHO1978,FEDEX,25/03/2024,Accepted,Mumbai,Pune,287.59,31/03/2024,29/03/2024,
SHO1979,BLUEDART,24/03/2026,Pending,Hyderabad,Mumbai,151.5,31/03/2026,,
SHO1982,DHL,24/11/2024,Delivered,Pune,Mumbai,433.92,01/12/2024,02/12/2024,1
SHO1984,FEDEX,13/11/2025,Delivered,Delhi,Pune,438.35,20/11/2025,19/11/2025,0
SHO1985,FEDEX,13/12/2024,In Transit,Chennai,Hyderabad,309.87,18/12/2024,,
SHO1986,BLUEDART,26/03/2025,Pending,Mumbai,Delhi,171.94,31/03/2025,,
SHO1989,FEDEX,18/04/2025,Pending,Bangalore,Delhi,418.11,22/04/2025,,
SHO1990,FEDEX,27/05/2025,In Transit,Delhi,Chennai,152.75,29/05/2025,,
SHO1995,FEDEX,01/01/2026,Delivered,Delhi,Mumbai,153.4,03/01/2026,01/08/2026,210
SHO1998,DHL,21/12/2025,Pending,Delhi,Mumbai,264.72,23/12/2025,,
SHO2001,DHL,03/04/2026,Accepted,Mumbai,Hyderabad,369.02,04/08/2026,,
SHO2004,BLUEDART,13/05/2026,In Transit,Chennai,Hyderabad,389.81,17/05/2026,,
SHO2006,FEDEX,07/06/2025,Delayed,Mumbai,Hyderabad,318.55,06/10/2025,,
SHO2008,FEDEX,09/04/2024,Delayed,Delhi,Pune,27.06,04/12/2024,21/04/2024,
SHO2016,FEDEX,10/06/2025,Delayed,Delhi,Mumbai,2.11,16/06/2025,20/06/2025,
SHO2021,BLUEDART,13/02/2026,Pending,Delhi,Pune,183.06,18/02/2026,,
SHO2023,BLUEDART,07/12/2024,Delivered,Bangalore,Mumbai,490.51,11/12/2024,14/12/2024,3
SHO2024,BLUEDART,08/07/2025,Delayed,Hyderabad,Pune,494.68,13/07/2025,14/07/2025,
SHO2026,FEDEX,17/04/2025,Delayed,Mumbai,Delhi,216.81,22/04/2025,,
SHO2029,FEDEX,06/08/2025,Pending,Pune,Delhi,437.99,08/11/2025,,
SHO2030,BLUEDART,24/03/2025,Delivered,Pune,Hyderabad,58.25,28/03/2025,27/03/2025,0
SHO2035,FEDEX,15/05/2024,In Transit,Mumbai,Delhi,113.15,17/05/2024,,
SHO2040,BLUEDART,10/01/2026,Pending,Pune,Hyderabad,129.29,14/01/2026,,
SHO2044,DHL,12/05/2025,Accepted,Hyderabad,Chennai,75.38,19/05/2025,,
SHO2051,FEDEX,16/08/2024,Pending,Mumbai,Delhi,422.6,23/08/2024,,
SHO2055,DHL,03/08/2024,Accepted,Mumbai,Delhi,204.98,03/12/2024,,
SHO2056,DHL,17/09/2025,Pending,Hyderabad,Mumbai,491.33,21/09/2025,,
SHO2057,FEDEX,12/01/2025,In Transit,Chennai,Mumbai,448.72,06/12/2025,,
SHO2059,FEDEX,10/03/2024,Accepted,Mumbai,Chennai,407.61,14/03/2024,,
SHO2063,FEDEX,14/12/2024,In Transit,Hyderabad,Mumbai,284.86,21/12/2024,,
SHO2065,DHL,18/04/2026,Delayed,Delhi,Pune,202.73,20/04/2026,26/04/2026,
SHO2066,FEDEX,25/10/2025,Accepted,Hyderabad,Delhi,318.5,29/10/2025,,
SHO2069,FEDEX,26/06/2024,Pending,Mumbai,Hyderabad,286.45,29/06/2024,,
SHO2070,BLUEDART,11/03/2025,In Transit,Bangalore,Chennai,437.23,10/11/2025,,
SHO2071,FEDEX,17/11/2024,Pending,Hyderabad,Pune,246.18,22/11/2024,,
SHO2072,BLUEDART,01/06/2025,Delayed,Mumbai,Pune,352.19,07/06/2025,08/06/2025,
SHO2075,DHL,25/01/2025,Accepted,Bangalore,Chennai,496.09,31/01/2025,,
SHO2079,FEDEX,16/02/2024,In Transit,Delhi,Chennai,307.92,20/02/2024,,
SHO2081,FEDEX,07/05/2025,Accepted,Mumbai,Bangalore,263.3,10/05/2025,17/05/2025,
SHO2082,FEDEX,24/11/2024,Delayed,Delhi,Mumbai,301.75,28/11/2024,12/03/2024,
SHO2085,DHL,08/02/2025,Delivered,Mumbai,Bangalore,159.41,06/08/2025,08/10/2025,63
SHO2090,FEDEX,08/06/2024,Delayed,Delhi,Mumbai,3.95,12/06/2024,21/06/2024,
SHO2092,DHL,22/02/2025,Delayed,Bangalore,Chennai,142.28,24/02/2025,03/01/2025,
SHO2094,DHL,16/04/2024,Delayed,Pune,Bangalore,467.44,22/04/2024,24/04/2024,
SHO2102,FEDEX,13/06/2025,Delayed,Chennai,Delhi,191.03,20/06/2025,24/06/2025,
SHO2103,DHL,16/11/2024,Pending,Bangalore,Mumbai,446.32,22/11/2024,,
SHO2104,DHL,02/05/2026,Delayed,Chennai,Mumbai,495.77,06/05/2026,16/05/2026,
SHO2106,DHL,18/04/2026,In Transit,Mumbai,Pune,341.6,22/04/2026,,
SHO2108,DHL,22/05/2025,Delivered,Delhi,Bangalore,339.21,25/05/2025,28/05/2025,3
SHO2111,BLUEDART,11/07/2024,In Transit,Chennai,Bangalore,355.07,16/07/2024,,
SHO2114,DHL,26/03/2024,Accepted,Bangalore,Pune,109.49,28/03/2024,,
SHO2116,BLUEDART,21/02/2026,Delivered,Chennai,Pune,318.23,28/02/2026,04/03/2026,4
SHO2121,BLUEDART,14/04/2024,Delayed,Mumbai,Chennai,140.71,20/04/2024,24/04/2024,
SHO2123,DHL,12/03/2026,In Transit,Pune,Mumbai,48.06,17/03/2026,,
SHO2127,DHL,15/05/2025,Accepted,Chennai,Delhi,255.74,19/05/2025,,
SHO2130,BLUEDART,14/10/2025,Pending,Hyderabad,Mumbai,0.8,19/10/2025,,
SHO2137,BLUEDART,10/01/2024,In Transit,Bangalore,Delhi,39.68,12/01/2024,,
SHO2139,FEDEX,12/06/2025,Delayed,Bangalore,Hyderabad,260.08,16/06/2025,,
SHO2140,FEDEX,05/05/2024,In Transit,Pune,Delhi,405.15,12/05/2024,,
SHO2141,FEDEX,16/07/2024,Pending,Chennai,Bangalore,295.79,23/07/2024,,
SHO2142,FEDEX,03/02/2026,Accepted,Hyderabad,Mumbai,312.29,09/02/2026,,
SHO2143,BLUEDART,19/04/2025,Pending,Mumbai,Hyderabad,328.39,25/04/2025,,
SHO2156,BLUEDART,28/01/2026,Delayed,Bangalore,Chennai,188.0,03/02/2026,13/02/2026,
SHO2160,DHL,21/04/2026,Delivered,Pune,Delhi,384.67,25/04/2026,26/04/2026,1
SHO2166,BLUEDART,23/03/2026,In Transit,Chennai,Delhi,54.61,26/03/2026,,
SHO2174,FEDEX,21/12/2025,In Transit,Delhi,Chennai,132.09,27/12/2025,,
SHO2176,FEDEX,25/04/2025,Pending,Bangalore,Delhi,237.52,01/05/2025,,
SHO2177,DHL,25/05/2024,Pending,Mumbai,Pune,218.09,31/05/2024,,
SHO2178,DHL,25/12/2025,Delivered,Mumbai,Pune,358.42,29/12/2025,28/12/2025,0
SHO2180,FEDEX,27/05/2024,Pending,Bangalore,Pune,257.93,30/05/2024,,
SHO2188,FEDEX,18/10/2024,Delayed,Pune,Chennai,122.55,25/10/2024,29/10/2024,
SHO2190,DHL,17/12/2024,Pending,Chennai,Delhi,364.76,22/12/2024,,
SHO2191,FEDEX,18/09/2025,Delayed,Delhi,Bangalore,218.99,21/09/2025,,
SHO2195,DHL,28/09/2024,Delayed,Bangalore,Mumbai,120.78,03/10/2024,06/10/2024,
SHO2198,FEDEX,05/02/2026,Delayed,Hyderabad,Bangalore,165.82,05/07/2026,,
SHO2201,DHL,28/01/2024,Delayed,Chennai,Bangalore,8.85,01/02/2024,02/10/2024,
SHO2203,FEDEX,06/06/2026,In Transit,Chennai,Pune,481.32,08/06/2026,,
SHO2208,FEDEX,01/01/2026,Pending,Mumbai,Bangalore,225.06,01/05/2026,,
SHO2209,FEDEX,09/05/2024,Delayed,Hyderabad,Pune,308.51,09/12/2024,15/09/2024,
SHO2210,DHL,25/01/2025,Pending,Hyderabad,Chennai,173.16,29/01/2025,,
SHO2216,BLUEDART,16/04/2024,Delayed,Pune,Mumbai,161.03,22/04/2024,05/01/2024,
SHO2218,DHL,07/12/2025,Accepted,Chennai,Pune,84.39,13/12/2025,19/12/2025,
SHO2219,BLUEDART,19/08/2025,Accepted,Delhi,Mumbai,263.84,23/08/2025,,
SHO2220,DHL,18/08/2024,Accepted,Bangalore,Pune,474.02,24/08/2024,,
SHO2225,DHL,01/10/2025,In Transit,Chennai,Hyderabad,466.39,08/10/2025,,
SHO2226,BLUEDART,16/06/2024,Delivered,Chennai,Bangalore,360.4,21/06/2024,24/06/2024,3
SHO2229,DHL,19/08/2025,Accepted,Bangalore,Hyderabad,499.23,24/08/2025,,
SHO2230,BLUEDART,01/05/2026,Accepted,Pune,Mumbai,302.82,01/09/2026,,
SHO2232,BLUEDART,25/09/2024,Delivered,Bangalore,Hyderabad,211.36,29/09/2024,04/10/2024,5
SHO2234,DHL,23/10/2024,Pending,Pune,Hyderabad,418.39,29/10/2024,,
SHO2238,DHL,20/02/2026,In Transit,Hyderabad,Pune,78.01,24/02/2026,,
SHO2241,BLUEDART,11/07/2024,Accepted,Mumbai,Pune,417.0,17/07/2024,21/07/2024,
SHO2243,DHL,06/06/2026,Delayed,Chennai,Mumbai,79.12,08/06/2026,17/06/2026,
SHO2246,FEDEX,14/11/2024,Pending,Pune,Delhi,419.92,17/11/2024,,
SHO2250,DHL,29/12/2025,In Transit,Bangalore,Delhi,327.77,31/12/2025,,
SHO2251,DHL,14/09/2025,Delayed,Pune,Bangalore,151.81,21/09/2025,22/09/2025,
SHO2254,DHL,03/05/2026,Delayed,Hyderabad,Chennai,474.75,03/11/2026,18/03/2026,
SHO2258,FEDEX,30/12/2025,Delivered,Chennai,Delhi,254.31,06/01/2026,01/05/2026,115
SHO2259,DHL,12/05/2026,Accepted,Bangalore,Mumbai,324.93,16/05/2026,,
SHO2261,DHL,23/04/2026,Delayed,Chennai,Hyderabad,165.09,30/04/2026,,
SHO2266,FEDEX,20/03/2026,Pending,Pune,Bangalore,81.01,27/03/2026,,
SHO2267,FEDEX,15/04/2024,Pending,Mumbai,Pune,416.63,18/04/2024,,
SHO2270,DHL,12/02/2026,Accepted,Chennai,Hyderabad,155.58,18/02/2026,28/02/2026,
SHO2271,DHL,28/04/2026,Pending,Chennai,Hyderabad,295.02,02/05/2026,,
SHO2272,DHL,30/11/2025,Delivered,Pune,Delhi,193.98,07/12/2025,05/12/2025,0
SHO2274,BLUEDART,12/01/2025,Delayed,Mumbai,Chennai,277.1,05/12/2025,,
SHO2275,BLUEDART,02/03/2026,Pending,Delhi,Pune,215.7,03/08/2026,,
SHO2276,DHL,22/02/2026,Delayed,Delhi,Mumbai,357.78,24/02/2026,27/02/2026,
SHO2280,DHL,14/12/2025,In Transit,Chennai,Delhi,12.42,20/12/2025,,
SHO2289,BLUEDART,16/02/2025,Delivered,Mumbai,Pune,185.49,20/02/2025,25/02/2025,5
SHO2298,DHL,04/03/2025,In Transit,Bangalore,Delhi,477.59,03/08/2025,,
SHO2300,FEDEX,29/03/2025,Accepted,Bangalore,Mumbai,264.18,04/04/2025,13/04/2025,
SHO2301,BLUEDART,10/06/2024,Delivered,Pune,Chennai,107.55,13/06/2024,14/06/2024,1
SHO2302,FEDEX,03/04/2026,Accepted,Hyderabad,Mumbai,54.67,03/08/2026,,
SHO2303,DHL,06/03/2024,Accepted,Chennai,Mumbai,222.25,08/03/2024,03/12/2024,
SHO2306,FEDEX,17/06/2025,Pending,Pune,Mumbai,48.53,20/06/2025,,
SHO2310,FEDEX,19/03/2025,Delivered,Pune,Bangalore,302.95,21/03/2025,26/03/2025,5
SHO2311,BLUEDART,18/01/2024,Pending,Bangalore,Delhi,452.68,25/01/2024,,
SHO2314,BLUEDART,01/03/2024,In Transit,Pune,Delhi,263.31,03/05/2024,,
SHO2316,FEDEX,01/03/2024,In Transit,Chennai,Hyderabad,377.06,04/03/2024,,
SHO2321,FEDEX,13/05/2025,Accepted,Chennai,Pune,2.16,17/05/2025,,
SHO2324,DHL,12/05/2024,Pending,Hyderabad,Chennai,387.85,17/05/2024,,
SHO2326,FEDEX,02/02/2026,Pending,Hyderabad,Chennai,396.48,06/02/2026,,
SHO2328,FEDEX,03/07/2024,Delayed,Pune,Chennai,129.94,05/07/2024,,
SHO2333,FEDEX,18/12/2024,Pending,Hyderabad,Chennai,221.2,24/12/2024,,
SHO2335,FEDEX,22/04/2025,Pending,Pune,Hyderabad,314.15,25/04/2025,,
SHO2339,DHL,16/01/2024,Delivered,Pune,Hyderabad,144.86,20/01/2024,22/01/2024,2
SHO2344,DHL,22/08/2024,Accepted,Hyderabad,Delhi,269.21,26/08/2024,,
SHO2346,FEDEX,04/01/2024,Delivered,Mumbai,Pune,480.85,01/09/2024,09/01/2024,0
SHO2348,FEDEX,21/10/2025,Pending,Bangalore,Delhi,499.01,26/10/2025,,
SHO2349,BLUEDART,06/04/2024,Delayed,Delhi,Hyderabad,37.38,13/04/2024,18/04/2024,
SHO2352,FEDEX,19/06/2024,Delayed,Chennai,Delhi,281.15,24/06/2024,04/07/2024,
SHO2353,FEDEX,16/06/2025,Pending,Mumbai,Chennai,196.22,20/06/2025,,
SHO2354,BLUEDART,20/12/2024,In Transit,Pune,Bangalore,369.17,26/12/2024,,
SHO2358,FEDEX,08/09/2025,In Transit,Mumbai,Bangalore,187.84,08/12/2025,,
SHO2361,FEDEX,17/01/2026,Accepted,Hyderabad,Delhi,413.03,19/01/2026,,
SHO2362,DHL,17/12/2024,Delivered,Pune,Bangalore,270.87,20/12/2024,23/12/2024,3
SHO2364,FEDEX,14/06/2025,Pending,Delhi,Mumbai,300.38,19/06/2025,,
SHO2366,BLUEDART,26/07/2025,Accepted,Bangalore,Pune,78.28,02/08/2025,,
SHO2371,DHL,21/04/2026,Delivered,Mumbai,Hyderabad,250.82,26/04/2026,28/04/2026,2
SHO2372,DHL,10/05/2025,Pending,Pune,Delhi,173.0,10/10/2025,,
SHO2373,FEDEX,11/10/2025,Pending,Mumbai,Bangalore,37.27,14/10/2025,,
SHO2375,FEDEX,12/08/2024,In Transit,Chennai,Mumbai,358.61,10/12/2024,,
SHO2376,DHL,07/04/2024,Accepted,Bangalore,Mumbai,46.68,09/04/2024,,
SHO2378,BLUEDART,05/01/2024,Delayed,Mumbai,Delhi,394.83,05/05/2024,05/06/2024,
SHO2380,FEDEX,05/05/2025,Delayed,Chennai,Hyderabad,218.16,11/05/2025,05/12/2025,
SHO2383,DHL,11/06/2024,In Transit,Bangalore,Delhi,403.37,18/06/2024,,
SHO2384,DHL,20/05/2026,In Transit,Hyderabad,Mumbai,124.52,22/05/2026,,
SHO2386,BLUEDART,15/02/2026,Accepted,Hyderabad,Pune,415.51,21/02/2026,21/02/2026,
SHO2387,FEDEX,21/10/2024,Delivered,Delhi,Bangalore,180.01,27/10/2024,30/10/2024,3
SHO2389,FEDEX,29/12/2024,Accepted,Hyderabad,Bangalore,474.88,04/01/2025,,
SHO2392,BLUEDART,20/02/2025,Delivered,Delhi,Mumbai,88.48,23/02/2025,26/02/2025,3
SHO2394,FEDEX,13/06/2026,Delayed,Delhi,Bangalore,134.56,20/06/2026,22/06/2026,
SHO2395,BLUEDART,20/05/2025,Delayed,Pune,Hyderabad,332.2,24/05/2025,30/05/2025,
SHO2401,FEDEX,30/04/2025,Delayed,Hyderabad,Pune,134.92,04/05/2025,12/05/2025,
SHO2405,DHL,21/09/2025,In Transit,Chennai,Bangalore,226.36,25/09/2025,,
SHO2406,DHL,10/07/2025,In Transit,Bangalore,Pune,93.41,17/07/2025,,
SHO2409,FEDEX,23/03/2026,Pending,Chennai,Hyderabad,277.63,27/03/2026,,
SHO2410,DHL,22/03/2026,Delivered,Hyderabad,Chennai,258.33,24/03/2026,28/03/2026,4
SHO2411,BLUEDART,13/08/2025,Delivered,Hyderabad,Delhi,378.59,16/08/2025,16/08/2025,0
SHO2415,FEDEX,23/04/2025,Delayed,Hyderabad,Delhi,133.23,25/04/2025,30/04/2025,
SHO2416,BLUEDART,13/09/2024,Pending,Mumbai,Chennai,334.91,17/09/2024,,
SHO2417,BLUEDART,22/02/2025,Accepted,Pune,Mumbai,283.86,25/02/2025,,
SHO2421,DHL,08/08/2024,In Transit,Pune,Mumbai,444.07,14/08/2024,,
SHO2424,DHL,15/02/2025,Delayed,Hyderabad,Delhi,444.51,19/02/2025,25/02/2025,
SHO2426,BLUEDART,14/05/2025,Delayed,Mumbai,Bangalore,167.23,16/05/2025,22/05/2025,
SHO2428,FEDEX,17/04/2026,Delayed,Delhi,Chennai,439.9,23/04/2026,28/04/2026,
SHO2429,BLUEDART,26/01/2026,Delayed,Delhi,Mumbai,252.65,29/01/2026,,
SHO2430,BLUEDART,18/10/2024,In Transit,Hyderabad,Delhi,369.32,25/10/2024,,
SHO2436,BLUEDART,09/06/2026,In Transit,Bangalore,Delhi,400.26,16/06/2026,,
SHO2437,FEDEX,24/09/2024,In Transit,Pune,Bangalore,24.36,26/09/2024,,
SHO2440,BLUEDART,14/05/2026,Delivered,Pune,Mumbai,307.63,21/05/2026,26/05/2026,5
SHO2441,DHL,12/09/2024,In Transit,Pune,Bangalore,295.54,16/12/2024,,
SHO2442,FEDEX,03/12/2025,Delayed,Bangalore,Chennai,494.48,06/12/2025,09/12/2025,
SHO2448,BLUEDART,15/05/2024,Pending,Mumbai,Bangalore,382.75,22/05/2024,,
SHO2451,BLUEDART,17/01/2025,Accepted,Bangalore,Mumbai,359.66,24/01/2025,,
SHO2454,FEDEX,13/08/2025,Delayed,Hyderabad,Delhi,156.02,18/08/2025,,
SHO2456,DHL,29/03/2026,Delayed,Pune,Bangalore,212.86,04/05/2026,15/04/2026,
SHO2457,FEDEX,25/06/2025,Accepted,Delhi,Hyderabad,382.01,02/07/2025,,
SHO2458,BLUEDART,20/10/2024,Accepted,Pune,Chennai,461.15,27/10/2024,,
SHO2461,DHL,14/08/2025,Delivered,Pune,Chennai,127.33,19/08/2025,20/08/2025,1
SHO2472,DHL,09/04/2024,Pending,Delhi,Hyderabad,165.87,09/06/2024,,
SHO2475,DHL,01/01/2026,Accepted,Bangalore,Chennai,205.97,01/04/2026,,
SHO2483,FEDEX,27/01/2024,Pending,Pune,Hyderabad,158.22,31/01/2024,,
SHO2484,BLUEDART,21/01/2026,Delayed,Pune,Mumbai,66.05,26/01/2026,30/01/2026,
SHO2487,DHL,18/08/2025,In Transit,Mumbai,Delhi,61.62,23/08/2025,,
SHO2489,BLUEDART,31/03/2026,Accepted,Pune,Bangalore,61.2,05/04/2026,,
SHO2494,BLUEDART,11/03/2025,Delayed,Mumbai,Hyderabad,203.69,11/05/2025,14/11/2025,
SHO2495,FEDEX,10/08/2024,Pending,Delhi,Pune,198.62,17/08/2024,,
SHO2496,BLUEDART,11/10/2024,Pending,Hyderabad,Pune,196.4,13/10/2024,,
SHO2501,BLUEDART,20/11/2025,In Transit,Delhi,Hyderabad,74.85,22/11/2025,,
SHO2502,BLUEDART,29/03/2026,Accepted,Hyderabad,Delhi,362.13,31/03/2026,,
SHO2504,BLUEDART,13/03/2025,In Transit,Delhi,Bangalore,200.42,19/03/2025,,
SHO2508,BLUEDART,10/08/2025,Delayed,Chennai,Bangalore,71.45,16/08/2025,19/08/2025,
SHO2511,BLUEDART,24/01/2025,Delayed,Delhi,Hyderabad,102.82,31/01/2025,03/02/2025,
SHO2516,DHL,16/05/2024,In Transit,Hyderabad,Delhi,121.46,20/05/2024,,
SHO2517,BLUEDART,14/06/2025,Delayed,Hyderabad,Bangalore,114.92,19/06/2025,,
SHO2524,FEDEX,04/06/2025,Pending,Hyderabad,Bangalore,70.02,06/08/2025,,
SHO2528,FEDEX,16/06/2024,Pending,Pune,Hyderabad,139.11,22/06/2024,,
SHO2529,BLUEDART,05/03/2025,Delivered,Hyderabad,Pune,296.91,10/05/2025,13/05/2025,3
SHO2533,FEDEX,27/01/2024,In Transit,Hyderabad,Pune,25.28,02/02/2024,,
SHO2534,FEDEX,11/05/2026,In Transit,Chennai,Hyderabad,190.9,14/05/2026,,
SHO2545,BLUEDART,07/04/2025,Pending,Chennai,Mumbai,437.81,07/07/2025,,
SHO2546,FEDEX,18/06/2025,Accepted,Delhi,Bangalore,457.26,22/06/2025,,
SHO2548,DHL,10/05/2025,Delayed,Delhi,Chennai,493.62,13/05/2025,17/05/2025,
SHO2549,DHL,04/07/2024,In Transit,Hyderabad,Mumbai,369.84,09/07/2024,,
SHO2551,BLUEDART,25/08/2025,Pending,Hyderabad,Delhi,107.44,01/09/2025,,
SHO2553,BLUEDART,17/01/2026,Accepted,Chennai,Pune,303.08,21/01/2026,,
SHO2555,BLUEDART,17/02/2026,Pending,Hyderabad,Mumbai,340.17,21/02/2026,,
SHO2558,BLUEDART,05/03/2025,Pending,Delhi,Mumbai,455.72,10/03/2025,,
SHO2559,DHL,03/03/2025,Pending,Delhi,Mumbai,261.68,06/03/2025,,
SHO2560,BLUEDART,16/01/2025,Accepted,Mumbai,Chennai,194.82,21/01/2025,,
SHO2561,BLUEDART,23/08/2025,In Transit,Delhi,Hyderabad,100.29,27/08/2025,,
SHO2562,BLUEDART,27/05/2024,Pending,Chennai,Mumbai,129.14,03/06/2024,,
SHO2564,FEDEX,21/08/2025,Delayed,Mumbai,Hyderabad,62.54,23/08/2025,28/08/2025,
SHO2565,DHL,31/03/2026,Accepted,Pune,Hyderabad,214.82,04/07/2026,,
SHO2570,BLUEDART,31/03/2026,Delivered,Hyderabad,Chennai,462.8,04/04/2026,04/04/2026,0
SHO2574,FEDEX,27/01/2025,Delayed,Hyderabad,Delhi,107.36,03/02/2025,12/02/2025,
