shipment_id,carrier,ship_date,status,origin,destination,freight_cost,Expected Delivery Date,Delivered Date,delay_days,reason
SHO2488,BLUEDART,,In Transit,Chennai,Mumbai,,19/06/2024,,,Invalid ship date; Invalid freight cost
SHO2490,FEDEX,30/03/2024,Pending,Pune,Bangalore,-53.59,04/05/2024,,,Invalid freight cost
SHO2491,DHL,13/09/2025,Pending,Delhi,Bangalore,197.38,,,,Expected Delivery Date is missing or invalid
SHO2492,DHL,12/05/2024,Accepted,Delhi,Mumbai,-54.84,16/05/2024,,,Invalid freight cost
SHO2493,FEDEX,08/07/2025,IN TRANS,Delhi,Chennai,-2.77,14/08/2025,,,Invalid status; Invalid freight cost
SHO2497,DHL,28/04/2026,Delivered,Bangalore,Mumbai,49.54,30/04/2026,,,Delivered Date is missing or invalid for Delivered status
SHO2498,FEDEX,05/12/2024,Pending,Delhi,Bangalore,31.77,12/11/2024,,,Expected Delivery Date is before Ship Date
SHO2499,FEDEX,24/02/2026,In Transit,Chennai,Hyderabad,258.45,,,,Expected Delivery Date is missing or invalid
SHO2500,FEDEX,25/02/2024,Delivered,Pune,Delhi,191.59,03/03/2024,03/02/2024,0,Delivered Date is before Ship Date
,DHL,29/10/2024,In Transit,Pune,Delhi,-18.72,,,,Missing shipment ID; Expected Delivery Date is missing or invalid; Invalid freight cost
SHO2505,FEDEX,30/07/2025,UNKNOWN,Pune,Mumbai,160.37,01/08/2025,,,Invalid status
SHO2506,DHL,11/06/2025,IN TRANS,Bangalore,Delhi,49.99,08/11/2025,,,Invalid status
SHO2507,FEDEX,,Delivered,Bangalore,Delhi,390.31,09/09/2025,10/09/2025,1,Invalid ship date
SHO2509,FEDEX,19/05/2024,In Transit,Delhi,Hyderabad,-31.43,,,,Expected Delivery Date is missing or invalid; Invalid freight cost
,FEDEX,08/09/2024,IN TRANS,Pune,Hyderabad,60.38,13/09/2024,,,Missing shipment ID; Invalid status
SHO2512,BLUEDART,,Delayed,Hyderabad,Pune,203.5,26/01/2025,,,Invalid ship date
SHO2513,DHL,,Pending,Bangalore,Mumbai,299.31,16/03/2026,,,Invalid ship date
SHO2514,FEDEX,15/11/2025,Delivered,Pune,Mumbai,280.28,,24/11/2025,,Expected Delivery Date is missing or invalid
SHO2515,FEDEX,15/02/2025,Pending,Chennai,Hyderabad,-6.19,22/02/2025,,,Invalid freight cost
SHO2518,FEDEX,,In Transit,Delhi,Mumbai,24.88,21/05/2024,,,Invalid ship date
SHO2519,BLUEDART,09/11/2024,In Transit,Hyderabad,Pune,83.74,,,,Expected Delivery Date is missing or invalid
SHO2520,DHL,01/07/2025,Delivered,Bangalore,Mumbai,131.7,01/10/2025,15/01/2025,0,Delivered Date is before Ship Date
SHO2521,FEDEX,13/04/2024,Delayed,Pune,Bangalore,,17/04/2024,18/04/2024,,Invalid freight cost
SHO2522,DHL,,Accepted,Chennai,Bangalore,49.08,31/05/2026,,,Invalid ship date
SHO2523,DHL,30/10/2024,In Transit,Bangalore,Mumbai,-7.86,04/11/2024,,,Invalid freight cost
SHO2525,BLUEDART,,Delivered,Delhi,Bangalore,72.29,03/04/2025,07/03/2025,0,Invalid ship date
SHO2526,FEDEX,,Delivered,Bangalore,Delhi,,01/12/2025,12/06/2025,0,Invalid ship date; Invalid freight cost
SHO2527,DHL,02/05/2025,In Transit,Mumbai,Hyderabad,-20.63,,,,Expected Delivery Date is missing or invalid; Invalid freight cost
SHO2530,FEDEX,24/03/2026,IN TRANS,Mumbai,Chennai,25.89,30/03/2026,,,Invalid status
SHO2531,BLUEDART,16/06/2025,UNKNOWN,Hyderabad,Chennai,272.59,23/06/2025,,,Invalid status
SHO2532,DHL,17/07/2024,Delivered,Pune,Mumbai,283.45,,28/07/2024,,Expected Delivery Date is missing or invalid
SHO2535,FEDEX,12/01/2025,Delivered,Pune,Delhi,183.24,05/12/2025,,,Delivered Date is missing or invalid for Delivered status
,BLUEDART,06/11/2026,Delayed,Mumbai,Pune,467.39,13/06/2026,22/06/2026,,Missing shipment ID; Expected Delivery Date is before Ship Date
SHO2537,DHL,04/12/2026,In Transit,Hyderabad,Pune,390.2,,,,Expected Delivery Date is missing or invalid
SHO2538,DHL,22/06/2025,Pending,Pune,Bangalore,-47.12,27/06/2025,,,Invalid freight cost
SHO2539,DHL,30/03/2025,Pending,Pune,Hyderabad,282.66,,,,Expected Delivery Date is missing or invalid
SHO2540,DHL,11/08/2025,Delivered,Chennai,Delhi,-23.76,15/08/2025,13/08/2025,0,Invalid freight cost
SHO2541,BLUEDART,,Pending,Mumbai,Delhi,448.54,,,,Invalid ship date; Expected Delivery Date is missing or invalid
SHO2542,DHL,,Delayed,Bangalore,Delhi,-18.49,19/02/2025,24/02/2025,,Invalid ship date; Invalid freight cost
SHO2543,BLUEDART,,Delayed,Mumbai,Chennai,176.14,,10/05/2024,,Invalid ship date; Expected Delivery Date is missing or invalid
SHO2544,FEDEX,27/09/2025,Delayed,Mumbai,Delhi,475.49,,30/09/2025,,Expected Delivery Date is missing or invalid
SHO2547,BLUEDART,07/02/2025,Delivered,Mumbai,Delhi,256.34,12/02/2025,,,Delivered Date is missing or invalid for Delivered status
SHO2550,BLUEDART,31/10/2025,Pending,Hyderabad,Chennai,-53.22,03/11/2025,,,Invalid freight cost
SHO2552,DHL,31/03/2026,Delayed,Bangalore,Mumbai,167.19,04/02/2026,10/04/2026,,Expected Delivery Date is before Ship Date
SHO2554,BLUEDART,,Delayed,Bangalore,Mumbai,427.49,27/03/2025,04/04/2025,,Invalid ship date
SHO2556,BLUEDART,,Delayed,Chennai,Bangalore,162.59,05/03/2025,08/05/2025,,Invalid ship date
SHO2557,BLUEDART,17/11/2024,Pending,Hyderabad,Pune,,,,,Expected Delivery Date is missing or invalid; Invalid freight cost
SHO2563,BLUEDART,26/04/2026,Pending,Hyderabad,Bangalore,191.1,,,,Expected Delivery Date is missing or invalid
SHO2566,FEDEX,06/08/2025,In Transit,Delhi,Hyderabad,-19.48,08/08/2025,,,Invalid freight cost
SHO2567,DHL,19/06/2026,Pending,Mumbai,Bangalore,35.84,,,,Expected Delivery Date is missing or invalid
SHO2568,FEDEX,07/04/2026,Accepted,Hyderabad,Delhi,234.71,,,,Expected Delivery Date is missing or invalid
SHO2569,FEDEX,,Delivered,Bangalore,Mumbai,-8.85,23/02/2024,22/02/2024,0,Invalid ship date; Invalid freight cost
SHO2571,BLUEDART,04/12/2026,Delayed,Pune,Hyderabad,-3.95,17/04/2026,,,Expected Delivery Date is before Ship Date; Invalid freight cost
SHO2572,DHL,,Delayed,Chennai,Mumbai,450.76,,19/06/2024,,Invalid ship date; Expected Delivery Date is missing or invalid
SHO2573,BLUEDART,06/12/2025,Delayed,Delhi,Chennai,7.29,12/08/2025,15/12/2025,,Expected Delivery Date is before Ship Date
SHO2575,FEDEX,12/06/2024,Accepted,Pune,Mumbai,1.86,,25/06/2024,,Expected Delivery Date is missing or invalid
,DHL,25/02/2024,Accepted,Hyderabad,Bangalore,258.87,,,,Missing shipment ID; Expected Delivery Date is missing or invalid
SHO2577,BLUEDART,,Delayed,Pune,Chennai,308.18,13/05/2025,,,Invalid ship date
SHO2578,FEDEX,17/12/2024,IN TRANS,Mumbai,Delhi,175.68,19/12/2024,,,Invalid status
SHO2579,FEDEX,,In Transit,Pune,Delhi,168.23,06/02/2025,,,Invalid ship date
SHO2580,BLUEDART,11/03/2024,In Transit,Pune,Delhi,-45.86,18/03/2024,,,Invalid freight cost
SHO2583,DHL,,UNKNOWN,Pune,Hyderabad,28.44,03/10/2025,,,Invalid ship date; Invalid status
SHO2584,FEDEX,05/02/2025,IN TRANS,Delhi,Hyderabad,88.26,,,,Invalid status; Expected Delivery Date is missing or invalid
SHO2585,BLUEDART,,Accepted,Pune,Hyderabad,7.14,24/04/2025,28/04/2025,,Invalid ship date
SHO2586,BLUEDART,18/04/2024,Accepted,Delhi,Chennai,268.92,,,,Expected Delivery Date is missing or invalid
SHO2588,FEDEX,,IN TRANS,Bangalore,Pune,79.05,09/09/2024,,,Invalid ship date; Invalid status
SHO2589,FEDEX,,Delivered,Chennai,Delhi,-42.27,26/04/2026,30/04/2026,4,Invalid ship date; Invalid freight cost
SHO2590,BLUEDART,17/03/2026,Delivered,Delhi,Pune,409.02,,26/03/2026,,Expected Delivery Date is missing or invalid
,DHL,23/12/2025,In Transit,Bangalore,Hyderabad,179.67,27/12/2025,,,Missing shipment ID
SHO2592,DHL,29/11/2024,Delayed,Hyderabad,Delhi,344.76,12/03/2024,,,Expected Delivery Date is before Ship Date
SHO2594,DHL,26/09/2025,UNKNOWN,Pune,Hyderabad,36.18,,03/10/2025,,Invalid status; Expected Delivery Date is missing or invalid
SHO2595,FEDEX,16/05/2024,Pending,Chennai,Mumbai,70.97,,,,Expected Delivery Date is missing or invalid
SHO2596,DHL,02/08/2026,Pending,Bangalore,Delhi,153.67,15/02/2026,,,Expected Delivery Date is before Ship Date
SHO2597,FEDEX,05/12/2025,Pending,Chennai,Delhi,48.75,,,,Expected Delivery Date is missing or invalid
SHO2598,FEDEX,26/06/2025,In Transit,Bangalore,Pune,114.53,,,,Expected Delivery Date is missing or invalid
SHO2599,DHL,,Delivered,Hyderabad,Mumbai,392.48,08/04/2025,,,Invalid ship date; Delivered Date is missing or invalid for Delivered status
SHO2600,DHL,23/04/2025,Delayed,Bangalore,Delhi,31.61,,04/05/2025,,Expected Delivery Date is missing or invalid
SHO2601,FEDEX,30/03/2024,Pending,Chennai,Mumbai,-52.05,04/04/2024,,,Invalid freight cost
SHO2602,FEDEX,05/10/2024,IN TRANS,Chennai,Hyderabad,270.36,09/10/2024,,,Invalid status
SHO2603,FEDEX,03/03/2025,Delivered,Chennai,Delhi,-29.73,10/03/2025,03/12/2025,268,Invalid freight cost
SHO2605,DHL,18/07/2025,Delivered,Bangalore,Chennai,,25/07/2025,25/07/2025,0,Invalid freight cost
SHO2606,BLUEDART,04/06/2024,In Transit,Pune,Mumbai,,06/07/2024,,,Invalid freight cost
SHO2607,DHL,16/02/2024,Delayed,Hyderabad,Chennai,61.76,,03/03/2024,,Expected Delivery Date is missing or invalid
SHO2608,DHL,12/05/2025,Delivered,Bangalore,Mumbai,105.72,,16/05/2025,,Expected Delivery Date is missing or invalid
SHO2610,BLUEDART,,Pending,Mumbai,Delhi,-13.14,26/03/2025,,,Invalid ship date; Invalid freight cost
SHO2611,DHL,,Pending,Delhi,Pune,57.7,,,,Invalid ship date; Expected Delivery Date is missing or invalid
SHO2614,BLUEDART,30/06/2026,In Transit,Hyderabad,Delhi,206.58,,,,Expected Delivery Date is missing or invalid
SHO2616,DHL,,Pending,Hyderabad,Pune,93.34,26/09/2025,,,Invalid ship date
SHO2617,BLUEDART,03/09/2026,Delayed,Chennai,Delhi,-44.82,,14/03/2026,,Expected Delivery Date is missing or invalid; Invalid freight cost
SHO2618,DHL,31/05/2025,IN TRANS,Hyderabad,Chennai,172.98,06/06/2025,,,Invalid status
SHO2619,BLUEDART,,Pending,Delhi,Pune,54.73,17/12/2024,,,Invalid ship date
SHO2620,BLUEDART,07/10/2024,Pending,Hyderabad,Bangalore,-65.04,17/07/2024,,,Expected Delivery Date is before Ship Date; Invalid freight cost
SHO2621,FEDEX,30/06/2025,Delayed,Hyderabad,Chennai,-37.66,06/07/2025,,,Invalid freight cost
SHO2623,BLUEDART,,Delivered,Bangalore,Pune,380.04,,23/06/2024,,Invalid ship date; Expected Delivery Date is missing or invalid
SHO2624,BLUEDART,,Delayed,Pune,Bangalore,-22.12,03/08/2024,14/03/2024,,Invalid ship date; Invalid freight cost
SHO2625,FEDEX,25/01/2026,Delayed,Chennai,Mumbai,-24.07,27/01/2026,02/06/2026,,Invalid freight cost
SHO2626,DHL,,In Transit,Hyderabad,Delhi,241.97,16/11/2025,,,Invalid ship date
SHO2627,DHL,03/01/2024,Pending,Bangalore,Hyderabad,452.1,,,,Expected Delivery Date is missing or invalid
,BLUEDART,,Delayed,Mumbai,Hyderabad,279.25,,21/04/2025,,Missing shipment ID; Invalid ship date; Expected Delivery Date is missing or invalid
SHO2629,BLUEDART,,In Transit,Hyderabad,Bangalore,306.27,06/02/2025,,,Invalid ship date
SHO2630,DHL,,In Transit,Chennai,Bangalore,339.25,31/08/2024,,,Invalid ship date
SHO2632,DHL,29/04/2024,IN TRANS,Delhi,Pune,320.87,02/05/2024,,,Invalid status
SHO2634,BLUEDART,27/07/2024,IN TRANS,Bangalore,Delhi,425.33,30/07/2024,,,Invalid status
SHO2635,BLUEDART,22/02/2026,Accepted,Delhi,Hyderabad,-32.99,,,,Expected Delivery Date is missing or invalid; Invalid freight cost
SHO2636,DHL,23/04/2024,Delayed,Hyderabad,Bangalore,487.65,,05/03/2024,,Expected Delivery Date is missing or invalid
SHO2637,FEDEX,27/03/2025,Delivered,Hyderabad,Mumbai,38.49,,04/04/2025,,Expected Delivery Date is missing or invalid
SHO2639,DHL,,In Transit,Delhi,Mumbai,498.63,29/01/2026,,,Invalid ship date
SHO2640,BLUEDART,,Accepted,Bangalore,Mumbai,39.24,23/06/2024,,,Invalid ship date
SHO2641,BLUEDART,08/04/2026,Accepted,Pune,Chennai,265.06,,,,Expected Delivery Date is missing or invalid
,BLUEDART,17/12/2025,Accepted,Mumbai,Bangalore,-58.56,21/12/2025,19/12/2025,,Missing shipment ID; Invalid freight cost
SHO2643,BLUEDART,01/03/2025,Delayed,Hyderabad,Pune,-79.04,03/05/2025,06/03/2025,,Invalid freight cost
SHO2644,DHL,25/04/2024,Delayed,Bangalore,Hyderabad,-45.15,,,,Expected Delivery Date is missing or invalid; Invalid freight cost
SHO2645,BLUEDART,,IN TRANS,Chennai,Mumbai,,03/06/2025,,,Invalid ship date; Invalid status; Invalid freight cost
SHO2646,FEDEX,23/12/2025,Accepted,Hyderabad,Delhi,229.29,,,,Expected Delivery Date is missing or invalid
SHO2647,BLUEDART,04/12/2025,In Transit,Chennai,Delhi,302.62,19/04/2025,,,Expected Delivery Date is before Ship Date
SHO2648,FEDEX,,UNKNOWN,Delhi,Chennai,192.15,05/10/2025,,,Invalid ship date; Invalid status
SHO2649,DHL,08/11/2024,Pending,Delhi,Bangalore,78.1,18/08/2024,,,Expected Delivery Date is before Ship Date
SHO2650,FEDEX,14/06/2026,Delayed,Bangalore,Pune,227.83,,,,Expected Delivery Date is missing or invalid
SHO2651,FEDEX,30/11/2024,Accepted,Pune,Chennai,-32.51,03/12/2024,,,Invalid freight cost
SHO2652,FEDEX,24/01/2024,Delivered,Pune,Bangalore,-4.22,28/01/2024,31/01/2024,3,Invalid freight cost
SHO2653,DHL,26/04/2025,Delivered,Delhi,Hyderabad,182.83,05/03/2025,,,Delivered Date is missing or invalid for Delivered status; Expected Delivery Date is before Ship Date
SHO2656,FEDEX,,Pending,Hyderabad,Delhi,150.5,20/03/2026,,,Invalid ship date
SHO2657,FEDEX,01/01/2024,Delayed,Pune,Chennai,244.96,,09/01/2024,,Expected Delivery Date is missing or invalid
SHO2658,BLUEDART,03/11/2024,Delivered,Chennai,Delhi,496.05,,23/03/2024,,Expected Delivery Date is missing or invalid; Delivered Date is before Ship Date
SHO2660,DHL,28/10/2025,In Transit,Chennai,Hyderabad,443.12,,,,Expected Delivery Date is missing or invalid
SHO2665,DHL,04/07/2025,Pending,Hyderabad,Pune,344.32,,,,Expected Delivery Date is missing or invalid
SHO2667,FEDEX,23/11/2024,Delivered,Bangalore,Pune,499.46,30/11/2024,12/02/2024,0,Delivered Date is before Ship Date
SHO2670,DHL,11/03/2024,Accepted,Chennai,Bangalore,269.94,,,,Expected Delivery Date is missing or invalid
,DHL,19/01/2025,Pending,Bangalore,Delhi,464.55,,,,Missing shipment ID; Expected Delivery Date is missing or invalid
SHO2674,DHL,28/02/2024,Delivered,Chennai,Pune,320.89,,,,Expected Delivery Date is missing or invalid; Delivered Date is missing or invalid for Delivered status
SHO2676,FEDEX,25/10/2025,Delayed,Delhi,Mumbai,336.18,11/01/2025,11/05/2025,,Expected Delivery Date is before Ship Date
SHO2677,FEDEX,12/03/2024,In Transit,Chennai,Bangalore,127.97,,,,Expected Delivery Date is missing or invalid
SHO2680,BLUEDART,,Delivered,Hyderabad,Pune,331.23,03/06/2024,06/08/2024,64,Invalid ship date
,FEDEX,19/06/2024,Delivered,Chennai,Delhi,272.63,23/06/2024,22/06/2024,0,Missing shipment ID
SHO2686,DHL,27/06/2024,Delivered,Delhi,Bangalore,177.8,,08/07/2024,,Expected Delivery Date is missing or invalid
SHO2687,BLUEDART,,Accepted,Hyderabad,Pune,485.85,09/07/2024,,,Invalid ship date
SHO2688,DHL,,In Transit,Bangalore,Pune,35.93,05/08/2025,,,Invalid ship date
SHO2690,FEDEX,11/06/2025,IN TRANS,Delhi,Bangalore,115.05,,,,Invalid status; Expected Delivery Date is missing or invalid
SHO2691,DHL,,In Transit,Mumbai,Delhi,287.11,,,,Invalid ship date; Expected Delivery Date is missing or invalid
SHO2692,BLUEDART,07/04/2025,Accepted,Delhi,Chennai,-23.08,14/04/2025,,,Invalid freight cost
SHO2696,BLUEDART,29/06/2026,Accepted,Chennai,Pune,475.05,07/05/2026,,,Expected Delivery Date is before Ship Date
SHO2697,FEDEX,,UNKNOWN,Mumbai,Chennai,492.32,08/05/2026,05/07/2026,,Invalid ship date; Invalid status
SHO2698,DHL,,Delayed,Bangalore,Chennai,324.51,27/05/2026,,,Invalid ship date
SHO2699,FEDEX,27/01/2025,Delivered,Chennai,Hyderabad,-71.15,29/01/2025,,,Delivered Date is missing or invalid for Delivered status; Invalid freight cost
SHO2700,BLUEDART,01/07/2025,Delayed,Chennai,Mumbai,497.24,,09/07/2025,,Expected Delivery Date is missing or invalid
SHO2701,DHL,01/12/2024,Delivered,Pune,Delhi,449.51,18/01/2024,22/01/2024,4,Expected Delivery Date is before Ship Date; Delivered Date is before Ship Date
SHO2702,FEDEX,19/01/2025,Accepted,Chennai,Hyderabad,163.91,,,,Expected Delivery Date is missing or invalid
,FEDEX,21/02/2025,Pending,Hyderabad,Bangalore,197.42,25/02/2025,,,Missing shipment ID
SHO2704,BLUEDART,,Pending,Delhi,Mumbai,299.21,16/03/2025,,,Invalid ship date
SHO2705,DHL,04/06/2024,UNKNOWN,Delhi,Hyderabad,,09/04/2024,16/04/2024,,Invalid status; Expected Delivery Date is before Ship Date; Invalid freight cost
SHO2709,DHL,08/05/2024,UNKNOWN,Delhi,Mumbai,234.11,,12/05/2024,,Invalid status; Expected Delivery Date is missing or invalid
SHO2710,BLUEDART,27/10/2024,UNKNOWN,Pune,Bangalore,303.86,31/10/2024,11/02/2024,,Invalid status
SHO2711,DHL,07/09/2025,Delivered,Hyderabad,Bangalore,179.64,14/07/2025,19/07/2025,5,Expected Delivery Date is before Ship Date; Delivered Date is before Ship Date
SHO2713,FEDEX,,Delivered,Hyderabad,Delhi,249.72,11/12/2025,16/12/2025,5,Invalid ship date
SHO2714,FEDEX,18/07/2025,In Transit,Chennai,Pune,-12.01,21/07/2025,,,Invalid freight cost
SHO2716,FEDEX,02/09/2026,Delayed,Chennai,Bangalore,58.17,11/02/2026,15/02/2026,,Expected Delivery Date is before Ship Date
SHO2719,FEDEX,01/11/2025,Accepted,Hyderabad,Chennai,469.92,,,,Expected Delivery Date is missing or invalid
SHO2722,FEDEX,10/02/2025,IN TRANS,Pune,Delhi,353.0,06/10/2025,,,Invalid status
SHO2724,FEDEX,10/07/2025,Delayed,Hyderabad,Bangalore,397.85,,,,Expected Delivery Date is missing or invalid
SHO2725,DHL,,In Transit,Bangalore,Chennai,256.4,14/10/2025,,,Invalid ship date
SHO2726,DHL,,Delivered,Bangalore,Chennai,496.27,23/12/2024,28/12/2024,5,Invalid ship date
SHO2727,BLUEDART,02/04/2024,Delivered,Chennai,Delhi,380.63,,,,Expected Delivery Date is missing or invalid; Delivered Date is missing or invalid for Delivered status
SHO2733,DHL,26/07/2024,In Transit,Pune,Chennai,-70.46,,,,Expected Delivery Date is missing or invalid; Invalid freight cost
SHO2734,DHL,,Pending,Hyderabad,Chennai,-51.52,19/11/2024,,,Invalid ship date; Invalid freight cost
SHO2735,BLUEDART,22/08/2024,Delayed,Hyderabad,Pune,-44.58,29/08/2024,31/08/2024,,Invalid freight cost
,FEDEX,24/10/2024,Delivered,Delhi,Pune,-78.46,31/10/2024,11/03/2024,0,Missing shipment ID; Delivered Date is before Ship Date; Invalid freight cost
SHO2737,FEDEX,,Accepted,Chennai,Mumbai,,,28/03/2024,,Invalid ship date; Expected Delivery Date is missing or invalid; Invalid freight cost
SHO2738,FEDEX,23/07/2024,Pending,Chennai,Delhi,401.0,,,,Expected Delivery Date is missing or invalid
SHO2739,BLUEDART,11/07/2025,IN TRANS,Mumbai,Bangalore,105.28,16/07/2025,,,Invalid status
SHO2742,DHL,11/08/2025,Delivered,Delhi,Chennai,,15/08/2025,14/08/2025,0,Invalid freight cost
SHO2745,DHL,29/10/2024,In Transit,Hyderabad,Bangalore,-48.58,,,,Expected Delivery Date is missing or invalid; Invalid freight cost
SHO2746,DHL,01/06/2025,IN TRANS,Chennai,Hyderabad,91.5,06/08/2025,,,Invalid status
SHO2748,BLUEDART,,Accepted,Pune,Bangalore,-68.19,24/11/2024,26/11/2024,,Invalid ship date; Invalid freight cost
SHO2756,FEDEX,31/10/2025,Pending,Pune,Bangalore,489.38,11/03/2025,,,Expected Delivery Date is before Ship Date
SHO2758,BLUEDART,08/12/2025,In Transit,Chennai,Pune,186.12,14/08/2025,,,Expected Delivery Date is before Ship Date
SHO2760,BLUEDART,27/10/2024,Accepted,Bangalore,Pune,-16.49,11/03/2024,11/08/2024,,Expected Delivery Date is before Ship Date; Invalid freight cost
SHO2761,BLUEDART,04/12/2025,Delivered,Chennai,Bangalore,183.28,14/04/2025,18/04/2025,4,Expected Delivery Date is before Ship Date; Delivered Date is before Ship Date
SHO2762,DHL,,In Transit,Delhi,Bangalore,175.0,06/04/2026,,,Invalid ship date
SHO2764,BLUEDART,,Pending,Bangalore,Chennai,429.93,03/08/2024,,,Invalid ship date
SHO2765,DHL,03/04/2024,Delivered,Mumbai,Hyderabad,380.98,07/03/2024,12/03/2024,5,Expected Delivery Date is before Ship Date; Delivered Date is before Ship Date
,BLUEDART,,Delivered,Delhi,Mumbai,454.74,,18/07/2025,,Missing shipment ID; Invalid ship date; Expected Delivery Date is missing or invalid
SHO2769,DHL,,Delivered,Bangalore,Chennai,33.05,11/05/2025,15/05/2025,4,Invalid ship date
SHO2770,BLUEDART,,Pending,Bangalore,Hyderabad,447.68,15/11/2025,,,Invalid ship date
SHO2771,FEDEX,15/04/2025,Delayed,Bangalore,Mumbai,243.78,,25/04/2025,,Expected Delivery Date is missing or invalid
SHO2772,FEDEX,,UNKNOWN,Pune,Hyderabad,36.57,29/10/2024,11/05/2024,,Invalid ship date; Invalid status
,BLUEDART,08/03/2024,Pending,Pune,Mumbai,237.7,,,,Missing shipment ID; Expected Delivery Date is missing or invalid
SHO2776,FEDEX,06/10/2024,Delivered,Mumbai,Bangalore,,13/06/2024,17/06/2024,4,Expected Delivery Date is before Ship Date; Delivered Date is before Ship Date; Invalid freight cost
SHO2779,DHL,27/05/2025,Delivered,Bangalore,Hyderabad,,,03/06/2025,,Expected Delivery Date is missing or invalid; Invalid freight cost
SHO2780,DHL,16/08/2024,In Transit,Hyderabad,Pune,369.94,,,,Expected Delivery Date is missing or invalid
SHO2781,DHL,22/01/2026,UNKNOWN,Mumbai,Pune,306.04,27/01/2026,,,Invalid status
,FEDEX,,Delivered,Delhi,Pune,30.75,16/05/2024,20/05/2024,4,Missing shipment ID; Invalid ship date
SHO2783,BLUEDART,11/12/2025,In Transit,Hyderabad,Mumbai,-43.51,14/11/2025,,,Expected Delivery Date is before Ship Date; Invalid freight cost
SHO2784,BLUEDART,12/08/2024,In Transit,Delhi,Bangalore,-41.19,11/12/2024,,,Invalid freight cost
SHO2785,BLUEDART,05/12/2025,Delayed,Mumbai,Chennai,-15.04,12/09/2025,16/12/2025,,Expected Delivery Date is before Ship Date; Invalid freight cost
SHO2786,DHL,05/10/2024,UNKNOWN,Hyderabad,Delhi,311.59,14/05/2024,,,Invalid status; Expected Delivery Date is before Ship Date
SHO2788,BLUEDART,04/08/2026,Delayed,Bangalore,Pune,438.66,,,,Expected Delivery Date is missing or invalid
SHO2789,DHL,12/02/2024,UNKNOWN,Delhi,Bangalore,-9.97,14/02/2024,,,Invalid status; Invalid freight cost
SHO2794,FEDEX,16/02/2026,In Transit,Mumbai,Pune,146.63,,,,Expected Delivery Date is missing or invalid
SHO2795,BLUEDART,24/10/2024,Delivered,Chennai,Mumbai,-21.75,28/10/2024,31/10/2024,3,Invalid freight cost
,FEDEX,,Pending,Mumbai,Delhi,150.18,30/11/2024,,,Missing shipment ID; Invalid ship date
SHO2798,DHL,,Accepted,Delhi,Mumbai,456.8,,,,Invalid ship date; Expected Delivery Date is missing or invalid
SHO2799,FEDEX,16/01/2025,In Transit,Chennai,Mumbai,275.67,,,,Expected Delivery Date is missing or invalid
SHO2802,DHL,07/11/2025,Delivered,Bangalore,Mumbai,251.41,11/11/2025,,,Delivered Date is missing or invalid for Delivered status
,FEDEX,,IN TRANS,Bangalore,Mumbai,193.0,08/02/2026,,,Missing shipment ID; Invalid ship date; Invalid status
SHO2807,FEDEX,,In Transit,Delhi,Chennai,-52.22,23/11/2025,,,Invalid ship date; Invalid freight cost
SHO2808,DHL,,Pending,Hyderabad,Chennai,53.57,18/07/2024,,,Invalid ship date
SHO2809,BLUEDART,05/12/2024,Delivered,Delhi,Chennai,283.0,,12/12/2024,,Expected Delivery Date is missing or invalid
SHO2810,BLUEDART,,Pending,Hyderabad,Bangalore,117.39,,,,Invalid ship date; Expected Delivery Date is missing or invalid
SHO2811,BLUEDART,,IN TRANS,Bangalore,Mumbai,158.68,09/03/2025,,,Invalid ship date; Invalid status
SHO2812,BLUEDART,13/06/2026,In Transit,Mumbai,Pune,424.44,,,,Expected Delivery Date is missing or invalid
SHO2813,BLUEDART,05/02/2026,Pending,Chennai,Delhi,20.29,,,,Expected Delivery Date is missing or invalid
SHO2817,BLUEDART,01/09/2024,Delayed,Pune,Bangalore,333.64,,22/01/2024,,Expected Delivery Date is missing or invalid
SHO2819,BLUEDART,30/01/2026,In Transit,Mumbai,Hyderabad,-42.91,06/02/2026,,,Invalid freight cost
SHO2820,BLUEDART,30/03/2025,In Transit,Mumbai,Chennai,,04/06/2025,,,Invalid freight cost
SHO2821,DHL,24/03/2025,Pending,Delhi,Bangalore,,26/03/2025,,,Invalid freight cost
SHO2822,DHL,09/02/2025,Delayed,Bangalore,Chennai,199.19,,13/09/2025,,Expected Delivery Date is missing or invalid
SHO2824,DHL,15/01/2025,Delivered,Mumbai,Bangalore,3.76,19/01/2025,,,Delivered Date is missing or invalid for Delivered status
SHO2825,DHL,08/11/2025,Pending,Bangalore,Pune,22.0,,,,Expected Delivery Date is missing or invalid
SHO2826,DHL,31/03/2024,IN TRANS,Hyderabad,Chennai,273.45,07/04/2024,,,Invalid status
SHO2827,FEDEX,15/12/2025,IN TRANS,Delhi,Chennai,68.29,21/12/2025,,,Invalid status
SHO2829,BLUEDART,11/06/2026,IN TRANS,Bangalore,Pune,406.78,17/06/2026,,,Invalid status
SHO2830,BLUEDART,09/10/2025,In Transit,Mumbai,Hyderabad,131.64,,,,Expected Delivery Date is missing or invalid
SHO2831,FEDEX,12/08/2024,In Transit,Bangalore,Pune,92.96,,,,Expected Delivery Date is missing or invalid
SHO2832,BLUEDART,26/10/2024,Delivered,Pune,Mumbai,238.47,,29/10/2024,,Expected Delivery Date is missing or invalid
SHO2833,BLUEDART,14/04/2026,IN TRANS,Hyderabad,Chennai,164.0,17/04/2026,,,Invalid status
